"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name",Reach,Impressions,"Link clicks","Post engagements",Leads,"3-second video plays","Amount spent (AED)"
2025-02-06,2025-02-12,_PresidentScholarship_NA_En_StaticImage_Jan_25,B021_SB178_P228_R029_IG_PH001_BT013_NA_Jan_25,AUS_PresidentScholarship_Scholarship_PresidentScholarship_NorthAmerica_NA_NA_IG_INTR_NA_En_MF_45to60_NA_Jan_25,2149,3618,1,1,,,6.31
2025-02-06,2025-02-12,_PresidentScholarship_NA_En_StaticImage_Jan_25,B021_SB178_P228_R029_IG_PH001_BT013_NA_Jan_25,AUS_PresidentScholarship_Scholarship_PresidentScholarship_NorthAmerica_NA_NA_IG_INTR_NA_En_MF_18to20_NA_Jan_25,25810,43489,14,17,,,62.16
