"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name",Impressions,"Link clicks","Landing page views","Amount spent (AED)",Leads
2025-01-09,2025-01-09,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,588,4,,9.25,1
2025-01-08,2025-01-08,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,12624,44,,114.57,3
2025-01-08,2025-01-08,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,338,1,,4.16,
2025-01-08,2025-01-08,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,517,1,,9.16,
2025-01-07,2025-01-07,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,12036,54,,123.27,2
2025-01-07,2025-01-07,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,474,1,,4.84,
2025-01-07,2025-01-07,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,380,2,,4.33,
2025-01-06,2025-01-06,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,10499,42,,121.42,9
2025-01-06,2025-01-06,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,370,8,,4.41,2
2025-01-06,2025-01-06,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,533,4,,13.04,
2025-01-05,2025-01-05,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,19335,66,,128.69,7
2025-01-05,2025-01-05,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,272,4,,2.93,1
